X,Y,Z,LABEL 0 OR 1
-0.921,6.462,7.404,1
-1.235,6.776,7.875,0
-1.235,6.776,8.11,0
-0.921,6.541,8.345,0
-0.529,6.305,8.659,0
-0.372,6.07,8.502,0
-0.294,5.913,8.188,0
-0.294,5.913,7.875,0
-0.294,5.992,7.482,0
-0.294,5.992,7.012,0
-0.294,5.913,6.619,0
-0.215,6.07,5.992,0
-0.215,6.305,5.599,0
-0.215,6.462,5.207,0
-0.372,6.698,5.207,0
-0.608,6.855,5.521,0
-0.529,6.933,5.992,0
-0.372,6.855,6.541,0
-0.215,6.855,6.855,0
-0.215,6.855,7.247,0
-0.137,6.776,7.639,0
0.019,6.698,7.953,0
0.019,6.619,8.424,0
0.019,6.462,8.738,0
0.098,6.305,9.13,0
0.098,6.148,9.444,0
0.098,5.992,9.601,0
0.019,5.992,9.522,0
-0.215,5.913,9.365,0
-0.294,5.835,9.13,0
-0.294,5.756,8.894,0
-0.058,5.835,8.738,0
0.019,5.913,8.345,0
0.098,5.756,7.718,0
-0.137,5.756,7.247,0
-0.372,5.835,6.776,0
-0.294,5.913,6.776,0
-0.137,5.992,6.619,0
0.019,6.227,6.619,0
0.098,6.619,6.619,0
0.176,7.012,6.855,0
0.254,7.09,7.404,0
0.49,7.168,7.796,0
0.49,7.168,7.796,0
0.647,7.325,7.953,0
0.568,7.404,7.953,1
0.647,7.012,7.325,0
0.647,7.012,7.325,0
0.49,6.619,7.012,0
0.333,6.462,6.541,0
0.333,6.384,6.07,0
0.176,6.148,5.678,0
0.019,5.835,5.285,0
-0.137,5.678,5.05,0
-0.215,5.599,5.05,0
-0.137,5.521,5.207,0
0.019,5.521,5.599,0
-0.058,5.599,5.992,0
0.019,5.678,6.384,0
0.098,6.07,6.698,0
0.176,6.305,6.855,0
0.254,6.541,6.698,0
0.098,6.855,6.462,0
-0.137,7.247,6.227,0
-0.137,7.482,6.305,0
-0.137,7.404,6.619,0
0.098,7.168,6.933,0
0.333,7.09,7.247,0
0.49,7.168,7.404,0
0.568,6.933,7.482,0
0.647,6.776,7.325,0
0.411,6.541,7.09,0
0.333,6.384,6.698,0
0.254,6.462,6.462,0
0.176,6.619,6.305,0
0.098,6.776,6.227,0
0.176,7.012,6.148,0
0.333,7.247,6.148,0
0.411,7.639,6.227,0
0.333,8.188,6.305,0
0.098,8.581,6.227,0
-0.137,8.816,6.384,0
-0.294,8.973,6.619,0
-0.372,9.13,6.855,0
-0.764,9.051,7.09,0
-0.764,8.894,7.168,0
-0.215,8.894,7.325,0
-0.215,8.894,7.561,0
-0.294,8.738,7.796,0
-0.294,8.581,8.11,0
-0.451,8.345,8.345,0
-0.608,8.11,8.581,0
-0.843,7.718,8.738,0
-0.764,7.325,8.738,0
-0.608,7.168,8.738,0
-0.608,7.012,8.581,0
-0.686,7.012,8.424,0
-1,6.855,8.188,0
-0.921,6.462,8.031,0
-0.529,6.227,7.875,0
-0.058,5.913,7.718,1
0.333,5.599,7.325,0
0.49,5.442,7.012,0
0.568,5.364,6.619,0
0.176,5.129,6.462,0
-0.058,4.893,6.384,0
0.098,4.658,6.148,0
0.333,4.658,5.835,0
0.254,4.658,5.364,0
-0.058,4.972,5.05,1
0.254,5.678,3.873,1
0.098,5.678,4.972,1
-0.294,5.285,5.364,1
-0.608,4.972,6.227,0
-0.608,4.972,6.227,1
-0.921,5.129,7.875,1
-0.843,5.207,8.738,0
-0.843,5.207,8.738,1
0.333,5.521,10.228,0
0.333,5.521,10.228,0
0.568,5.442,10.464,0
0.333,5.285,10.228,0
0.176,5.207,9.757,0
0.098,5.129,9.051,0
0.019,5.129,8.267,1
