X,Y,Z,Target 
-0.499,1.161,9.294,0
-0.652,1.256,9.045,0
-0.575,1.429,9.524,0
-0.518,1.352,9.658,0
-0.499,1.333,9.753,0
-0.499,1.199,9.868,0
-0.575,1.18,9.773,0
-0.633,1.141,9.734,0
-0.748,1.199,9.485,0
-0.728,1.256,9.447,0
-0.652,1.314,9.543,0
-0.652,1.314,9.524,0
-0.633,1.333,9.562,0
-0.518,1.295,9.6,0
-0.594,1.256,9.696,0
-0.537,1.18,9.734,0
-0.575,1.276,9.562,0
-0.652,1.295,9.504,0
-0.633,1.333,9.524,0
-0.518,1.314,9.524,0
-0.499,1.237,9.466,0
-0.403,1.103,9.466,0
-0.499,1.141,9.466,0
-0.422,1.218,9.485,0
-0.499,1.295,9.447,0
-0.422,1.276,9.581,0
-0.441,1.39,9.581,0
-0.575,1.448,9.677,0
-0.479,1.41,9.811,0
-0.422,1.352,9.792,0
-0.345,1.333,9.677,0
-0.384,1.352,9.6,0
-0.479,1.39,9.389,0
-0.479,1.371,9.332,0
-0.441,1.505,9.236,0
-0.403,1.525,9.275,0
-0.384,1.525,9.313,0
-0.441,1.505,9.389,0
-0.326,1.467,9.581,0
-0.345,1.39,9.6,0
-0.384,1.295,9.543,0
-0.441,1.314,9.562,0
-0.537,1.352,9.658,0
-0.518,1.39,9.696,0
-0.537,1.352,9.677,0
-0.518,1.41,9.619,0
-0.537,1.39,9.504,0
-0.499,1.39,9.332,0
-0.422,1.314,9.16,0
-0.537,1.333,9.064,0
-0.652,1.429,9.217,0
-0.652,1.429,9.389,0
-0.633,1.486,9.524,0
-0.594,1.448,9.6,0
-0.518,1.39,9.638,0
-0.403,1.41,9.696,0
-0.365,1.429,9.811,0
-0.384,1.41,9.734,0
-0.479,1.429,9.677,0
-0.556,1.448,9.581,0
-0.46,1.429,9.504,0
-0.326,1.429,9.332,0
-0.345,1.39,9.351,0
-0.23,1.429,9.313,0
-0.23,1.486,9.275,0
-0.269,1.544,9.351,0
-0.365,1.62,9.6,0
-0.23,1.697,10.022,0
-0.173,1.716,9.983,0
-0.192,1.62,9.887,0
-0.192,1.525,9.638,0
-0.269,1.448,9.428,0
-0.365,1.429,9.083,0
-0.46,1.41,8.949,0
-0.537,1.39,9.006,0
-0.614,1.41,9.006,0
-0.537,1.41,9.179,0
-0.479,1.429,9.236,0
-0.479,1.486,9.332,0
-0.422,1.467,9.37,0
-0.384,1.352,9.389,0
-0.422,1.39,9.409,0
-0.384,1.467,9.543,0
-0.556,1.467,9.6,0
-0.614,1.582,9.753,0
-0.594,1.601,9.792,0
-0.499,1.544,9.696,0
-0.499,1.563,9.753,0
-0.499,1.544,9.773,0
-0.46,1.467,9.753,0
-0.537,1.448,9.696,0
-0.556,1.467,9.753,0
-0.575,1.448,9.811,0
-0.403,1.295,9.562,0
-0.345,1.237,9.466,0
-0.345,1.237,9.351,0
-0.25,1.18,9.351,0
-0.25,1.18,9.428,0
-0.307,1.199,9.37,0
-0.365,1.237,9.389,0
-0.479,1.276,9.409,0
-0.537,1.237,9.409,0
-0.537,1.199,9.466,0
