X,Y,Z,Label 0 or 1
-4.01,5.64,8.72,0
-3.89,6.29,9.43,1
-3.78,4.19,7.67,0
-3.67,3.71,6.83,1
-3.48,4.87,8.54,1
-3.21,3.59,6.22,1
-3.03,0.81,12.23,1
-2.87,-0.33,10.3,0
-2.84,0.07,12.43,1
-2.82,3.78,5.9,1
-2.76,1.72,8.43,1
-2.73,-0.37,10.82,1
-2.71,5.84,8.4,0
-2.7,6.74,9.83,1
-2.67,-0.37,13.24,1
-2.67,-1.88,11.07,1
-2.6,-4.48,11.55,0
-2.6,-4.48,11.55,1
-2.59,-1.09,13.07,1
-2.58,5.79,9.12,1
-2.58,5.96,6.03,0
-2.58,5.5,4.59,1
-2.58,-1.17,11.2,1
-2.54,5.64,5.47,1
-2.54,-0.43,11.99,1
-2.52,5.81,7.11,1
-2.49,-0.81,11.21,1
-2.49,2.61,10.82,1
-2.48,-6.35,13.27,1
-2.39,4.9,4.74,1
-2.37,-0.05,11.63,1
-2.36,6,8.45,1
-2.33,-1.69,14.65,1
-2.32,0.92,11.23,0
-2.31,-0.11,9.85,1
-2.31,4.23,5.82,0
-2.31,5.24,7.73,0
-2.29,5.17,7.01,1
-2.24,-2.99,10.07,1
-2.23,0.45,12.74,0
-2.23,-0.58,10.86,0
-2.21,1.63,11.56,0
-2.2,1.34,9.5,1
-2.18,5.66,7.78,1
-2.18,7.02,4.9,1
-2.17,4.48,6.47,1
-2.16,6.15,4.39,1
-2.16,0.11,12.81,1
-2.16,5.7,6.35,1
-2.14,-2.2,8.34,1
-2.13,0.88,10.92,1
-2.12,-1.62,11.6,1
-2.11,2.11,15.79,1
-2.09,-0.92,10.18,0
-2.08,0.25,10.95,0
-2.07,1.32,11.4,1
-2.07,-2.95,10.02,1
-2.07,2.11,11.25,0
-2.07,2.11,11.25,0
-2.07,2.11,11.25,0
-2.07,2.11,11.25,1
-2.07,5.39,8.23,0
-2.06,5.18,6.63,1
-2.06,-0.12,8.05,1
-2.06,5.08,6.46,1
-2.04,2.22,9.21,1
-2.04,4.74,5.34,1
-2.03,-1.47,10.4,0
-2.03,-2.03,9.52,1
-2.03,4.97,5.69,1
-2.01,-3.72,9.86,1
-2,6.68,10.78,1
-1.99,0.11,12.26,0
-1.99,0.11,12.26,0
-1.99,0.11,12.26,0
-1.99,0.11,12.26,0
-1.98,1.77,11.82,1
-1.96,-2.4,12.06,1
-1.96,5.25,5.33,0
-1.96,6.66,4.71,1
-1.95,0.78,11.76,1
-1.95,-0.19,9.64,0
-1.95,-0.52,9.28,1
-1.94,1.08,10.94,1
-1.94,-1.9,11.28,1
-1.94,-0.3,13.3,1
-1.93,2.7,8,1
-1.91,1.29,9.68,0
-1.9,1.98,8.23,0
-1.9,0.2,8.43,1
-1.89,4.93,6.23,1
-1.89,-6.28,12.71,1
-1.88,-1.28,12.07,1
-1.88,5.59,7.3,0
-1.87,4.39,6.74,1
-1.84,-2.13,11.19,1
-1.83,2.48,10.02,1
-1.83,4.7,5.97,1
-1.82,-1.07,11.91,0
-1.82,0.26,10.29,1
-1.81,-1.67,11.71,1
-1.8,6.1,6.73,1
-1.8,-0.9,11.64,0
-1.8,-0.94,12.95,0
-1.8,-0.94,12.95,0
-1.8,-0.94,12.95,1
-1.79,0.6,11.43,0
-1.79,0.6,11.43,0
-1.79,0.6,11.43,0
-1.79,0.6,11.43,1
-1.79,-1.26,9.14,0
-1.79,-1.66,10.86,1
-1.79,6.57,11.21,1
-1.79,4.77,8.29,1
-1.78,-3.07,14.74,1
-1.78,0.03,10.43,1
-1.78,5.63,7.05,0
-1.77,5.43,6.47,0
-1.76,5.74,6.54,0
-1.76,3.97,7.24,1
-1.75,-3.79,12.84,1
-1.75,-0.05,10.6,0
-1.74,-0.1,10.38,1
